"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
10650,47,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",1,"Aisén","","","Provincia","Province"
10651,47,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",2,"Capitán Prat","","","Provincia","Province"
10652,47,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",3,"Coihaique","","","Provincia","Province"
10653,47,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",4,"General Carrera","","","Provincia","Province"
10654,47,"CHL","Chile",2,"Antofagasta",5,"Antofagasta","","","Provincia","Province"
10655,47,"CHL","Chile",2,"Antofagasta",6,"El Loa","","","Provincia","Province"
10656,47,"CHL","Chile",2,"Antofagasta",7,"Tocopilla","","","Provincia","Province"
10657,47,"CHL","Chile",3,"Araucanía",8,"Cautín","","","Provincia","Province"
10658,47,"CHL","Chile",3,"Araucanía",9,"Malleco","","","Provincia","Province"
10659,47,"CHL","Chile",4,"Atacama",10,"Chañaral","","","Provincia","Province"
11697,47,"CHL","Chile",4,"Atacama",11,"Copiapó","","","Provincia","Province"
11698,47,"CHL","Chile",4,"Atacama",12,"Huasco","","","Provincia","Province"
11699,47,"CHL","Chile",5,"Bío-Bío",13,"Arauco","","","Provincia","Province"
11700,47,"CHL","Chile",5,"Bío-Bío",14,"Biobío","","","Provincia","Province"
11701,47,"CHL","Chile",5,"Bío-Bío",15,"Concepción","","","Provincia","Province"
11702,47,"CHL","Chile",5,"Bío-Bío",16,"Ñuble","","","Provincia","Province"
11703,47,"CHL","Chile",6,"Coquimbo",17,"Choapa","","","Provincia","Province"
11704,47,"CHL","Chile",6,"Coquimbo",18,"Elqui","","","Provincia","Province"
11705,47,"CHL","Chile",6,"Coquimbo",19,"Limarí","","","Provincia","Province"
11706,47,"CHL","Chile",7,"Libertador General Bernardo O'Higgins",20,"Cachapoal","","","Provincia","Province"
11707,47,"CHL","Chile",7,"Libertador General Bernardo O'Higgins",21,"Cardenal Caro","","","Provincia","Province"
11708,47,"CHL","Chile",7,"Libertador General Bernardo O'Higgins",22,"Colchagua","","","Provincia","Province"
11709,47,"CHL","Chile",8,"Los Lagos",23,"Chiloé","","","Provincia","Province"
11710,47,"CHL","Chile",8,"Los Lagos",24,"Llanquihue","","","Provincia","Province"
11711,47,"CHL","Chile",8,"Los Lagos",25,"Osorno","","","Provincia","Province"
11712,47,"CHL","Chile",8,"Los Lagos",26,"Palena","","","Provincia","Province"
11713,47,"CHL","Chile",8,"Los Lagos",27,"Valdivia","","","Provincia","Province"
11714,47,"CHL","Chile",9,"Magallanes y Antártica Chilena",28,"Antártica Chilena","","","Provincia","Province"
11715,47,"CHL","Chile",9,"Magallanes y Antártica Chilena",29,"Capitán Prat","","","Provincia","Province"
11716,47,"CHL","Chile",9,"Magallanes y Antártica Chilena",30,"Chacabuco","","","Provincia","Province"
11717,47,"CHL","Chile",9,"Magallanes y Antártica Chilena",31,"Magallanes","","","Provincia","Province"
11718,47,"CHL","Chile",9,"Magallanes y Antártica Chilena",32,"Tierra del Fuego","","","Provincia","Province"
11719,47,"CHL","Chile",9,"Magallanes y Antártica Chilena",33,"Última Esperanza","","","Provincia","Province"
11720,47,"CHL","Chile",10,"Maule",34,"Cauquenes","","","Provincia","Province"
11721,47,"CHL","Chile",10,"Maule",35,"Curicó","","","Provincia","Province"
11722,47,"CHL","Chile",10,"Maule",36,"Linares","","","Provincia","Province"
11723,47,"CHL","Chile",10,"Maule",37,"Talca","","","Provincia","Province"
11724,47,"CHL","Chile",11,"Región Metropolitana de Santiago",38,"Chacabuco","","","Provincia","Province"
11725,47,"CHL","Chile",11,"Región Metropolitana de Santiago",39,"Cordillera","","","Provincia","Province"
11726,47,"CHL","Chile",11,"Región Metropolitana de Santiago",40,"Maipo","","","Provincia","Province"
11727,47,"CHL","Chile",11,"Región Metropolitana de Santiago",41,"Melipilla","","","Provincia","Province"
11728,47,"CHL","Chile",11,"Región Metropolitana de Santiago",42,"Santiago","","","Provincia","Province"
11729,47,"CHL","Chile",11,"Región Metropolitana de Santiago",43,"Talagante","","","Provincia","Province"
11730,47,"CHL","Chile",12,"Tarapacá",44,"Arica","","","Provincia","Province"
11731,47,"CHL","Chile",12,"Tarapacá",45,"Iquique","","","Provincia","Province"
11732,47,"CHL","Chile",12,"Tarapacá",46,"Parinacota","","","Provincia","Province"
11733,47,"CHL","Chile",13,"Valparaíso",47,"ísla de Pascua","","Ocean Islands","Provincia","Province"
11734,47,"CHL","Chile",13,"Valparaíso",48,"Los Andes","","","Provincia","Province"
11735,47,"CHL","Chile",13,"Valparaíso",49,"Petorca","","","Provincia","Province"
11736,47,"CHL","Chile",13,"Valparaíso",50,"Quillota","","","Provincia","Province"
11737,47,"CHL","Chile",13,"Valparaíso",51,"San Antonio","","","Provincia","Province"
11738,47,"CHL","Chile",13,"Valparaíso",52,"San Felipe de Aconcagua","","","Provincia","Province"
11739,47,"CHL","Chile",13,"Valparaíso",53,"Valparaíso","","","Provincia","Province"
