"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
917,52,"COL","Colombia",1,"Amazonas","","","Comisaría","Commissiary"
918,52,"COL","Colombia",2,"Antioquia","","","Departamento","Department"
919,52,"COL","Colombia",3,"Arauca","","","Intendencia","Intendancy"
920,52,"COL","Colombia",4,"Atlántico","","","Departamento","Department"
921,52,"COL","Colombia",5,"Bolívar","","","Departamento","Department"
922,52,"COL","Colombia",6,"Boyacá","","","Departamento","Department"
923,52,"COL","Colombia",7,"Caldas","","","Departamento","Department"
924,52,"COL","Colombia",8,"Caquetá","","","Intendencia","Intendancy"
925,52,"COL","Colombia",9,"Casanare","","","Intendencia","Intendancy"
926,52,"COL","Colombia",10,"Cauca","","","Departamento","Department"
927,52,"COL","Colombia",11,"Cesar","","El Cesar","Departamento","Department"
928,52,"COL","Colombia",12,"Chocó","","","Departamento","Department"
929,52,"COL","Colombia",13,"Córdoba","","","Departamento","Department"
930,52,"COL","Colombia",14,"Cundinamarca","","","Departamento","Department"
931,52,"COL","Colombia",15,"Guainía","","Guania","Comisaría","Commissiary"
932,52,"COL","Colombia",16,"Guaviare","","","Comisaría","Commissiary"
933,52,"COL","Colombia",17,"Huila","","","Departamento","Department"
934,52,"COL","Colombia",18,"La Guajira","","Guajira|Goagira|La Goajira","Departamento","Department"
935,52,"COL","Colombia",19,"Magdalena","","La Magdalena","Departamento","Department"
936,52,"COL","Colombia",20,"Meta","","","Departamento","Department"
937,52,"COL","Colombia",21,"Nariño","","","Departamento","Department"
938,52,"COL","Colombia",22,"Norte de Santander","","Santander del Norte","Departamento","Department"
939,52,"COL","Colombia",23,"Putumayo","","","Intendencia","Intendancy"
940,52,"COL","Colombia",24,"Quindío","","","Departamento","Department"
941,52,"COL","Colombia",25,"Risaralda","","","Departamento","Department"
942,52,"COL","Colombia",26,"San Andrés y Providencia","","Saint Andrew and Providence","Departamento","Department"
943,52,"COL","Colombia",27,"Santander","","","Departamento","Department"
944,52,"COL","Colombia",28,"Sucre","","","Departamento","Department"
945,52,"COL","Colombia",29,"Tolima","","","Departamento","Department"
946,52,"COL","Colombia",30,"Valle del Cauca","","Valle","Departamento","Department"
947,52,"COL","Colombia",31,"Vaupés","","","Comisaría","Commissiary"
948,52,"COL","Colombia",32,"Vichada","","","Comisaría","Commissiary"
