"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2224,176,"PER","Peru",1,"Amazonas","","","Departamento","Department"
2225,176,"PER","Peru",2,"Ancash","","Ancachs","Departamento","Department"
2226,176,"PER","Peru",3,"Apurímac","","Apuromac","Departamento","Department"
2227,176,"PER","Peru",4,"Arequipa","","","Departamento","Department"
2228,176,"PER","Peru",5,"Ayacucho","","","Departamento","Department"
2229,176,"PER","Peru",6,"Cajamarca","","Caxamarca","Departamento","Department"
2230,176,"PER","Peru",7,"Callao","","El Callao","Departamento","Department"
2231,176,"PER","Peru",8,"Cusco","","Cuzco|Qosqo","Departamento","Department"
2232,176,"PER","Peru",9,"Huancavelica","","","Departamento","Department"
2233,176,"PER","Peru",10,"Huánuco","","Huknuco","Departamento","Department"
2234,176,"PER","Peru",11,"Ica","","","Departamento","Department"
2235,176,"PER","Peru",12,"Junín","","Junnn","Departamento","Department"
2236,176,"PER","Peru",13,"La Libertad","","Libertad","Departamento","Department"
2237,176,"PER","Peru",14,"Lambayeque","","","Departamento","Department"
2238,176,"PER","Peru",15,"Lima","","","Departamento","Department"
2239,176,"PER","Peru",16,"Loreto","","","Departamento","Department"
2240,176,"PER","Peru",17,"Madre de Dios","","","Departamento","Department"
2241,176,"PER","Peru",18,"Moquegua","","","Departamento","Department"
2242,176,"PER","Peru",19,"Pasco","","","Departamento","Department"
2243,176,"PER","Peru",20,"Piura","","","Departamento","Department"
2244,176,"PER","Peru",21,"Puno","","","Departamento","Department"
2245,176,"PER","Peru",22,"San Martín","","San Mart","Departamento","Department"
2246,176,"PER","Peru",23,"Tacna","","","Departamento","Department"
2247,176,"PER","Peru",24,"Tumbes","","Tumbez","Departamento","Department"
2248,176,"PER","Peru",25,"Ucayali","","","Departamento","Department"
