"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
27005,176,"PER","Peru",1,"Amazonas",1,"Bagua","","","Provincia","Province"
27006,176,"PER","Peru",1,"Amazonas",2,"Bongará","","Bongart","Provincia","Province"
27007,176,"PER","Peru",1,"Amazonas",3,"Chachapoyas","","","Provincia","Province"
27008,176,"PER","Peru",1,"Amazonas",4,"Condorcanqui","","","Provincia","Province"
27009,176,"PER","Peru",1,"Amazonas",5,"Luya","","","Provincia","Province"
27010,176,"PER","Peru",1,"Amazonas",6,"Rodríguez de Mendoza","","Rodreguez de Mendoza","Provincia","Province"
27011,176,"PER","Peru",1,"Amazonas",7,"Utcubamba","","","Provincia","Province"
27012,176,"PER","Peru",2,"Ancash",8,"Aija","","","Provincia","Province"
27013,176,"PER","Peru",2,"Ancash",9,"Antonio Raymondi","","","Provincia","Province"
27014,176,"PER","Peru",2,"Ancash",10,"Asunción","","Asuncitn","Provincia","Province"
27015,176,"PER","Peru",2,"Ancash",11,"Bolognesi","","","Provincia","Province"
27016,176,"PER","Peru",2,"Ancash",12,"Carhuaz","","","Provincia","Province"
27017,176,"PER","Peru",2,"Ancash",13,"Carlos Fermin Fitzcarrald","","","Provincia","Province"
27018,176,"PER","Peru",2,"Ancash",14,"Casma","","","Provincia","Province"
27019,176,"PER","Peru",2,"Ancash",15,"Corongo","","","Provincia","Province"
27020,176,"PER","Peru",2,"Ancash",16,"Huaraz","","","Provincia","Province"
27021,176,"PER","Peru",2,"Ancash",17,"Huari","","","Provincia","Province"
27022,176,"PER","Peru",2,"Ancash",18,"Huarmey","","","Provincia","Province"
27023,176,"PER","Peru",2,"Ancash",19,"Huaylas","","","Provincia","Province"
27024,176,"PER","Peru",2,"Ancash",20,"Mariscal Luzuriaga","","","Provincia","Province"
27025,176,"PER","Peru",2,"Ancash",21,"Ocros","","","Provincia","Province"
27026,176,"PER","Peru",2,"Ancash",22,"Pallasca","","","Provincia","Province"
27027,176,"PER","Peru",2,"Ancash",23,"Pomabamba","","","Provincia","Province"
27028,176,"PER","Peru",2,"Ancash",24,"Recuay","","","Provincia","Province"
27029,176,"PER","Peru",2,"Ancash",25,"Santa","","","Provincia","Province"
27030,176,"PER","Peru",2,"Ancash",26,"Sihuas","","","Provincia","Province"
27031,176,"PER","Peru",2,"Ancash",27,"Yungay","","","Provincia","Province"
27032,176,"PER","Peru",3,"Apurímac",28,"Abancay","","","Provincia","Province"
27033,176,"PER","Peru",3,"Apurímac",29,"Andahuaylas","","","Provincia","Province"
27034,176,"PER","Peru",3,"Apurímac",30,"Antabamba","","","Provincia","Province"
27035,176,"PER","Peru",3,"Apurímac",31,"Aymaraes","","","Provincia","Province"
27036,176,"PER","Peru",3,"Apurímac",32,"Chincheros","","","Provincia","Province"
27037,176,"PER","Peru",3,"Apurímac",33,"Cotabambas","","","Provincia","Province"
27038,176,"PER","Peru",3,"Apurímac",34,"Grau","","","Provincia","Province"
27039,176,"PER","Peru",4,"Arequipa",35,"Arequipa","","","Provincia","Province"
27040,176,"PER","Peru",4,"Arequipa",36,"Camaná","","Camann","Provincia","Province"
27041,176,"PER","Peru",4,"Arequipa",37,"Caravelí","","Caravel","Provincia","Province"
27042,176,"PER","Peru",4,"Arequipa",38,"Castilla","","","Provincia","Province"
27043,176,"PER","Peru",4,"Arequipa",39,"Caylloma","","","Provincia","Province"
27044,176,"PER","Peru",4,"Arequipa",40,"Condesuyos","","","Provincia","Province"
27045,176,"PER","Peru",4,"Arequipa",41,"Islay","","","Provincia","Province"
27046,176,"PER","Peru",4,"Arequipa",42,"La Unión","","La Unitn","Provincia","Province"
27047,176,"PER","Peru",5,"Ayacucho",43,"Cangallo","","","Provincia","Province"
27048,176,"PER","Peru",5,"Ayacucho",44,"Huamanga","","","Provincia","Province"
27049,176,"PER","Peru",5,"Ayacucho",45,"Huanca Sancos","","","Provincia","Province"
27050,176,"PER","Peru",5,"Ayacucho",46,"Huanta","","","Provincia","Province"
27051,176,"PER","Peru",5,"Ayacucho",47,"La Mar","","","Provincia","Province"
27052,176,"PER","Peru",5,"Ayacucho",48,"Lucanas","","","Provincia","Province"
27053,176,"PER","Peru",5,"Ayacucho",49,"Parinacochas","","","Provincia","Province"
27054,176,"PER","Peru",5,"Ayacucho",50,"Paucar del Sara Sara","","","Provincia","Province"
27055,176,"PER","Peru",5,"Ayacucho",51,"Sucre","","","Provincia","Province"
27056,176,"PER","Peru",5,"Ayacucho",52,"Victor Fajardo","","","Provincia","Province"
27057,176,"PER","Peru",5,"Ayacucho",53,"Vilcas Huamán","","","Provincia","Province"
27058,176,"PER","Peru",6,"Cajamarca",54,"Cajabamba","","","Provincia","Province"
27059,176,"PER","Peru",6,"Cajamarca",55,"Cajamarca","","","Provincia","Province"
27060,176,"PER","Peru",6,"Cajamarca",56,"Celendín","","Celendtn","Provincia","Province"
27061,176,"PER","Peru",6,"Cajamarca",57,"Chota","","","Provincia","Province"
27062,176,"PER","Peru",6,"Cajamarca",58,"Contumazá","","Contumaz","Provincia","Province"
27063,176,"PER","Peru",6,"Cajamarca",59,"Cutervo","","","Provincia","Province"
27064,176,"PER","Peru",6,"Cajamarca",60,"Hualgayoc","","","Provincia","Province"
27065,176,"PER","Peru",6,"Cajamarca",61,"Jaén","","","Provincia","Province"
27066,176,"PER","Peru",6,"Cajamarca",62,"San Ignacio","","","Provincia","Province"
27067,176,"PER","Peru",6,"Cajamarca",63,"San Marcos","","","Provincia","Province"
27068,176,"PER","Peru",6,"Cajamarca",64,"San Miguel","","","Provincia","Province"
27069,176,"PER","Peru",6,"Cajamarca",65,"San Pablo","","","Provincia","Province"
27070,176,"PER","Peru",6,"Cajamarca",66,"Santa Cruz","","","Provincia","Province"
27071,176,"PER","Peru",7,"Callao",67,"Callao","","","Provincia","Province"
27072,176,"PER","Peru",8,"Cusco",68,"Acomayo","","","Provincia","Province"
27073,176,"PER","Peru",8,"Cusco",69,"Anta","","","Provincia","Province"
