"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
43578,176,"PER","Peru",1,"Amazonas",3,"Chachapoyas",33,"Olleros","","","Distrito","District"
43579,176,"PER","Peru",1,"Amazonas",3,"Chachapoyas",34,"Quinjalca","","","Distrito","District"
43580,176,"PER","Peru",1,"Amazonas",3,"Chachapoyas",35,"San Francisco de Daguas","","","Distrito","District"
43581,176,"PER","Peru",1,"Amazonas",3,"Chachapoyas",36,"San Isidro de Maino","","","Distrito","District"
43582,176,"PER","Peru",1,"Amazonas",3,"Chachapoyas",37,"Soloco","","","Distrito","District"
43583,176,"PER","Peru",1,"Amazonas",3,"Chachapoyas",38,"Sonche","","","Distrito","District"
43584,176,"PER","Peru",1,"Amazonas",4,"Condorcanqui",39,"El Cenepa","","","Distrito","District"
43585,176,"PER","Peru",1,"Amazonas",4,"Condorcanqui",40,"Nieva","","","Distrito","District"
43586,176,"PER","Peru",1,"Amazonas",4,"Condorcanqui",41,"Rio Santiago","","","Distrito","District"
43587,176,"PER","Peru",1,"Amazonas",5,"Luya",42,"Camporredondo","","","Distrito","District"
43588,176,"PER","Peru",1,"Amazonas",5,"Luya",43,"Cocabamba","","","Distrito","District"
43589,176,"PER","Peru",1,"Amazonas",5,"Luya",44,"Colcamar","","","Distrito","District"
43590,176,"PER","Peru",1,"Amazonas",5,"Luya",45,"Conila","","","Distrito","District"
43591,176,"PER","Peru",1,"Amazonas",5,"Luya",46,"Inguilpata","","","Distrito","District"
43592,176,"PER","Peru",1,"Amazonas",5,"Luya",47,"Lamud","","","Distrito","District"
43593,176,"PER","Peru",1,"Amazonas",5,"Luya",48,"Longuita","","","Distrito","District"
43594,176,"PER","Peru",1,"Amazonas",5,"Luya",49,"Lonya Chico","","","Distrito","District"
43595,176,"PER","Peru",1,"Amazonas",5,"Luya",50,"Luya Viejo","","","Distrito","District"
43596,176,"PER","Peru",1,"Amazonas",5,"Luya",51,"Luya","","","Distrito","District"
43597,176,"PER","Peru",1,"Amazonas",5,"Luya",52,"Maria","","","Distrito","District"
43598,176,"PER","Peru",1,"Amazonas",5,"Luya",53,"Ocalli","","","Distrito","District"
43599,176,"PER","Peru",1,"Amazonas",5,"Luya",54,"Ocumal","","","Distrito","District"
43600,176,"PER","Peru",1,"Amazonas",5,"Luya",55,"Pisuquia","","","Distrito","District"
50118,176,"PER","Peru",1,"Amazonas",1,"Bagua",1,"Aramango","","","Distrito","District"
50119,176,"PER","Peru",1,"Amazonas",1,"Bagua",2,"Copallin","","","Distrito","District"
50120,176,"PER","Peru",1,"Amazonas",1,"Bagua",3,"El Parco","","","Distrito","District"
50121,176,"PER","Peru",1,"Amazonas",1,"Bagua",4,"Imaza","","","Distrito","District"
50122,176,"PER","Peru",1,"Amazonas",1,"Bagua",5,"La Peca","","","Distrito","District"
50123,176,"PER","Peru",1,"Amazonas",2,"Bongará",6,"Chisquilla","","","Distrito","District"
50124,176,"PER","Peru",1,"Amazonas",2,"Bongará",7,"Churuja","","","Distrito","District"
50125,176,"PER","Peru",1,"Amazonas",2,"Bongará",8,"Corosha","","","Distrito","District"
50126,176,"PER","Peru",1,"Amazonas",2,"Bongará",9,"Cuispes","","","Distrito","District"
